"Partition" "Activity_Names" "Subject" "Measurement_Type" "Measurement_Value"
"1" "train" "LAYING" 1 "tBodyAcc_average_mean_X" 0.22159824394
"2" "train" "LAYING" 3 "tBodyAcc_average_mean_X" 0.275516852741935
"3" "train" "LAYING" 5 "tBodyAcc_average_mean_X" 0.278334325576923
"4" "train" "LAYING" 6 "tBodyAcc_average_mean_X" 0.248656520140351
"5" "train" "LAYING" 7 "tBodyAcc_average_mean_X" 0.250176694038462
"6" "train" "LAYING" 8 "tBodyAcc_average_mean_X" 0.261254282907407
"7" "train" "LAYING" 11 "tBodyAcc_average_mean_X" 0.280592970877193
"8" "train" "LAYING" 14 "tBodyAcc_average_mean_X" 0.233275439803922
"9" "train" "LAYING" 15 "tBodyAcc_average_mean_X" 0.2894756525
"10" "train" "LAYING" 16 "tBodyAcc_average_mean_X" 0.274227162571429
"11" "train" "LAYING" 17 "tBodyAcc_average_mean_X" 0.269780085577465
"12" "train" "LAYING" 19 "tBodyAcc_average_mean_X" 0.272653733493976
"13" "train" "LAYING" 21 "tBodyAcc_average_mean_X" 0.271325472455556
"14" "train" "LAYING" 22 "tBodyAcc_average_mean_X" 0.279959721194444
"15" "train" "LAYING" 23 "tBodyAcc_average_mean_X" 0.274038007986111
"16" "train" "LAYING" 25 "tBodyAcc_average_mean_X" 0.250791828613699
"17" "train" "LAYING" 26 "tBodyAcc_average_mean_X" 0.271645864540789
"18" "train" "LAYING" 27 "tBodyAcc_average_mean_X" 0.274102492432432
"19" "train" "LAYING" 28 "tBodyAcc_average_mean_X" 0.2759134825
"20" "train" "LAYING" 29 "tBodyAcc_average_mean_X" 0.287295196811594
"21" "train" "LAYING" 30 "tBodyAcc_average_mean_X" 0.281033900571429
"22" "train" "SITTING" 1 "tBodyAcc_average_mean_X" 0.261237565425532
"23" "train" "SITTING" 3 "tBodyAcc_average_mean_X" 0.257197599134615
"24" "train" "SITTING" 5 "tBodyAcc_average_mean_X" 0.273694139545455
"25" "train" "SITTING" 6 "tBodyAcc_average_mean_X" 0.276778487454545
"26" "train" "SITTING" 7 "tBodyAcc_average_mean_X" 0.284674637291667
"27" "train" "SITTING" 8 "tBodyAcc_average_mean_X" 0.267491472934783
"28" "train" "SITTING" 11 "tBodyAcc_average_mean_X" 0.276590197358491
"29" "train" "SITTING" 14 "tBodyAcc_average_mean_X" 0.279990577037037
"30" "train" "SITTING" 15 "tBodyAcc_average_mean_X" 0.27290337979661
"31" "train" "SITTING" 16 "tBodyAcc_average_mean_X" 0.280768574492754
"32" "train" "SITTING" 17 "tBodyAcc_average_mean_X" 0.2773570196875
"33" "train" "SITTING" 19 "tBodyAcc_average_mean_X" 0.273830316164384
"34" "train" "SITTING" 21 "tBodyAcc_average_mean_X" 0.277539616823529
"35" "train" "SITTING" 22 "tBodyAcc_average_mean_X" 0.273583822709677
"36" "train" "SITTING" 23 "tBodyAcc_average_mean_X" 0.273351251617647
"37" "train" "SITTING" 25 "tBodyAcc_average_mean_X" 0.278541482461538
"38" "train" "SITTING" 26 "tBodyAcc_average_mean_X" 0.258243530166667
"39" "train" "SITTING" 27 "tBodyAcc_average_mean_X" 0.273941302571429
"40" "train" "SITTING" 28 "tBodyAcc_average_mean_X" 0.276977629444444
"41" "train" "SITTING" 29 "tBodyAcc_average_mean_X" 0.2771799775
"42" "train" "SITTING" 30 "tBodyAcc_average_mean_X" 0.268336081379032
"43" "train" "STANDING" 1 "tBodyAcc_average_mean_X" 0.278917629056604
"44" "train" "STANDING" 3 "tBodyAcc_average_mean_X" 0.280046513278689
"45" "train" "STANDING" 5 "tBodyAcc_average_mean_X" 0.282544390892857
"46" "train" "STANDING" 6 "tBodyAcc_average_mean_X" 0.280346248596491
"47" "train" "STANDING" 7 "tBodyAcc_average_mean_X" 0.282723539433962
"48" "train" "STANDING" 8 "tBodyAcc_average_mean_X" 0.279620986111111
